liked,duration_ms,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
True,234320,0.732,0.829,9,-5.862,1,0.00372,0.00363,0.0911,0.747,94.943
True,277262,0.592,0.873,9,-5.65,1,0.0715,0.00982,0.142,0.516,122.011
True,248773,0.778,0.84,0,-6.003,1,0.0709,0.0,0.105,0.669,121.04
True,156960,0.712,0.792,1,-5.24,1,0.0445,0.0,0.27,0.383,94.077
True,325720,0.789,0.755,2,-7.245,1,0.16,0.0,0.0565,0.31,130.025
False,200480,0.538,0.809,7,-6.017,0,0.00136,0.0,0.406,0.278,120.001
True,205766,0.655,0.487,6,-7.988,1,0.0347,0.897,0.271,0.0454,139.914
True,322587,0.503,0.695,10,-7.777,0,0.496,0.0,0.0966,0.102,82.141
False,210368,0.817,0.539,6,-6.349,0,0.0141,0.000496,0.099,0.158,97.062
True,212093,0.679,0.702,6,-4.539,0,0.0883,0.0,0.113,0.446,81.992
True,200661,0.412,0.696,0,-3.681,1,0.089,0.0,0.138,0.376,87.622
True,162462,0.706,0.642,7,-7.169,1,0.106,1.94e-05,0.127,0.436,130.048
True,237627,0.719,0.671,8,-6.279,1,0.0372,8.21e-06,0.12,0.786,130.027
False,201920,0.801,0.693,2,-6.409,1,0.0402,0.0,0.26,0.833,97.016
True,174507,0.652,0.773,11,-4.815,0,0.0593,0.0,0.0615,0.183,97.515
True,185969,0.604,0.839,11,-5.583,1,0.0134,0.0,0.153,0.469,178.024
True,90201,0.803,0.277,0,-9.205,0,0.222,0.74,0.12,0.388,74.562
True,301133,0.889,0.393,4,-10.821,0,0.331,8.67e-06,0.283,0.304,128.065
True,227063,0.711,0.814,0,-4.398,1,0.0741,0.0,0.316,0.58,99.959
True,163571,0.519,0.13,4,-13.054,0,0.828,0.922,0.12,0.405,88.984
True,215786,0.659,0.712,7,-5.61,0,0.0729,3.04e-05,0.367,0.202,101.034
False,181613,0.794,0.188,0,-11.957,1,0.601,0.0,0.637,0.64,93.967
True,201067,0.569,0.843,0,-5.046,1,0.0291,0.0,0.0737,0.592,148.116
False,226470,0.57,0.468,6,-4.192,1,0.758,0.0,0.206,0.335,137.855
True,212653,0.546,0.651,1,-7.601,1,0.000739,0.0,0.235,0.646,77.878
False,166101,0.645,0.568,5,-9.127,0,0.543,0.266,0.257,0.391,84.999
True,161747,0.715,0.823,5,-5.313,0,0.133,0.0,0.361,0.91,151.956
True,250099,0.517,0.537,8,-8.707,0,0.113,1.38e-06,0.0913,0.181,112.046
True,180449,0.633,0.698,3,-4.76,0,0.408,0.0,0.119,0.37,73.027
True,148673,0.831,0.705,1,-5.602,1,0.363,0.0,0.109,0.333,130.072
True,175922,0.705,0.919,8,-5.087,0,0.435,1.38e-05,0.168,0.607,134.029
True,179507,0.677,0.556,9,-6.544,1,0.263,0.0,0.105,0.521,80.009
True,176417,0.605,0.664,8,-7.162,1,0.00548,3e-06,0.204,0.164,103.997
True,249533,0.68,0.687,9,-6.162,0,0.0161,0.0,0.261,0.467,150.053
False,159800,0.738,0.568,8,-5.341,1,0.0246,0.0,0.146,0.399,99.933
False,188161,0.848,0.791,7,-6.11,1,0.0161,3.34e-05,0.317,0.447,124.969
True,240000,0.58,0.846,9,-2.876,0,0.00537,6.62e-06,0.145,0.366,129.998
False,192600,0.725,0.76,0,-4.836,1,0.0311,0.000161,0.199,0.59,122.068
False,126573,0.502,0.978,7,-3.278,1,0.000163,1.27e-06,0.287,0.603,138.811
False,165760,0.633,0.754,5,-6.096,0,0.313,0.0,0.109,0.419,185.938
True,223543,0.612,0.601,8,-7.089,1,0.168,0.0,0.117,0.525,147.018
True,238747,0.715,0.715,5,-7.364,1,0.0526,0.0,0.0936,0.506,134.923
True,175200,0.317,0.887,0,-4.525,1,0.000449,9.23e-06,0.363,0.544,174.009
False,216804,0.72,0.682,5,-5.808,1,0.333,0.0299,0.12,0.704,151.994
False,191114,0.716,0.757,5,-2.666,1,0.0249,0.0,0.286,0.558,100.007
True,211893,0.732,0.607,4,-7.871,0,0.0837,1.54e-05,0.122,0.628,85.004
True,188493,0.728,0.489,11,-7.727,0,0.183,0.0,0.0654,0.767,97.514
False,191000,0.793,0.694,3,-6.324,0,0.0999,0.0,0.112,0.361,100.052
True,220749,0.673,0.773,6,-5.545,0,0.0206,0.0,0.12,0.686,132.008
True,161882,0.718,0.667,9,-5.008,0,0.169,0.0,0.0674,0.48,89.029
True,175067,0.593,0.745,7,-4.37,1,0.19,0.0,0.227,0.849,169.951
True,172036,0.631,0.673,6,-4.892,0,0.407,0.0,0.154,0.721,83.504
False,169067,0.604,0.491,1,-7.571,1,0.0116,0.000206,0.0646,0.179,167.921
True,158027,0.541,0.468,10,-4.039,0,0.404,3.65e-06,0.358,0.69,95.266
False,353960,0.685,0.621,11,-8.442,0,0.433,0.0,0.607,0.538,128.906
False,231653,0.714,0.686,11,-6.333,1,0.203,7.76e-06,0.102,0.828,127.015
True,216240,0.633,0.683,3,-6.326,0,0.268,7.78e-06,0.113,0.463,129.97
True,197548,0.535,0.679,7,-5.799,1,0.0129,5.5e-05,0.126,0.459,94.047
False,180440,0.71,0.85,5,-5.686,1,0.145,0.0,0.86,0.962,120.047
True,184515,0.822,0.575,6,-4.587,0,0.0182,4.45e-05,0.109,0.286,110.028
True,147584,0.67,0.139,1,-11.068,1,0.928,0.949,0.0947,0.658,91.054
True,185195,0.822,0.743,6,-3.04,0,0.285,2.31e-06,0.102,0.355,96.025
False,232907,0.613,0.54,0,-6.292,1,0.533,0.0,0.112,0.52,112.994
True,181594,0.633,0.782,2,-4.311,1,0.0266,0.0,0.139,0.542,127.991
True,228706,0.852,0.758,1,-4.875,0,0.2,0.0,0.13,0.518,139.948
True,192571,0.911,0.529,9,-7.996,0,0.201,0.0,0.101,0.76,105.067
True,230611,0.665,0.703,8,-3.885,1,0.128,0.0,0.115,0.257,97.968
True,206413,0.707,0.924,7,-2.842,1,0.000972,0.00703,0.204,0.919,127.937
True,227919,0.545,0.827,6,-4.742,0,0.0744,0.0,0.24,0.588,79.47
True,233699,0.71,0.669,1,-7.331,1,0.0661,9.76e-05,0.283,0.26,100.042
True,302840,0.451,0.931,9,-3.871,1,0.00076,0.0049,0.361,0.172,122.961
True,216429,0.713,0.39,9,-12.229,1,0.868,0.942,0.0884,0.288,86.999
True,196185,0.767,0.499,11,-7.819,0,0.197,2.65e-06,0.194,0.609,104.061
True,131280,0.745,0.642,7,-6.257,0,0.0204,0.0,0.0658,0.226,179.974
False,211212,0.726,0.665,5,-5.611,0,0.299,0.0,0.179,0.807,104.239
True,259110,0.7,0.581,10,-6.226,0,0.0328,5.88e-06,0.11,0.444,80.026
False,223203,0.747,0.83,9,-5.426,1,0.0214,0.00024,0.0639,0.64,123.988
True,212445,0.492,0.681,6,-7.038,1,0.143,0.0,0.199,0.511,178.01
True,203973,0.502,0.873,0,-5.175,0,0.0712,0.0,0.0702,0.384,81.282
False,211129,0.84,0.718,9,-7.391,0,0.113,0.00148,0.0873,0.654,110.702
False,177667,0.815,0.518,7,-6.594,0,0.223,0.0,0.104,0.877,151.891
False,217869,0.759,0.805,0,-6.849,1,0.207,5.35e-05,0.0938,0.782,121.999
False,214227,0.404,0.531,1,-4.328,1,0.215,0.0,0.0521,0.321,164.848
False,226480,0.781,0.944,9,-2.64,0,0.0873,0.0795,0.117,0.965,103.003
True,283735,0.755,0.643,9,-9.097,0,0.0264,3.59e-05,0.267,0.471,126.039
False,171360,0.597,0.837,10,-6.518,1,0.00427,0.00114,0.839,0.447,126.342
True,205267,0.709,0.562,5,-4.864,1,0.0449,0.0,0.217,0.386,125.965
True,269947,0.715,0.67,11,-5.779,1,0.251,0.0,0.109,0.124,86.01
True,173237,0.65,0.171,6,-9.005,1,0.921,0.0,0.127,0.284,119.522
